Title,Rating,Genre,Company,Budget,Popularity,Revenue,Runtime,Score 1,Votes 1,Score 2,Votes 2
Lethal Weapon 3,R,Action,Warner Bros.,35000000,36.172182,321731527,118,6.4,811,6.7,160000
The Perfect Storm,PG-13,Action,Warner Bros.,120000000,25.752118,325756637,130,6.2,597,6.4,160000
Meet the Parents,PG-13,Comedy,Universal Pictures,55000000,29.97224,330444045,108,6.6,1698,7,317000
Back to the Future Part II,PG,Adventure,Universal Pictures,40000000,43.345252,332000000,108,7.4,3829,7.8,494000
Indiana Jones and the Temple of Doom,PG,Action,Paramount Pictures,28000000,66.976776,333000000,118,7.1,2781,7.5,459000
The Curious Case of Benjamin Button,PG-13,Drama,Warner Bros.,150000000,60.269279,333932083,166,7.3,3292,7.8,605000
Sherlock Holmes: A Game of Shadows,PG-13,Action,Warner Bros.,125000000,81.499621,334615000,129,7,3886,7.5,429000
Prince of Persia: The Sands of Time,PG-13,Action,Walt Disney Pictures,150000000,62.169881,335154643,116,6.2,2317,6.6,277000
Batman Forever,PG-13,Action,Warner Bros.,100000000,48.205606,336529144,121,5.2,1498,5.4,239000
300: Rise of an Empire,R,Action,Warner Bros.,110000000,71.510596,337580051,102,6.1,2397,6.2,286000
Enchanted,PG,Comedy,Walt Disney Pictures,85000000,29.21998,340487652,107,6.6,1449,7,181000
The Flintstones,PG,Comedy,Universal Pictures,46000000,28.964162,341631208,91,5,543,4.9,77000
Star Trek Beyond,PG-13,Action,Paramount Pictures,185000000,65.352913,343471816,122,6.6,2568,7,234000
How the Grinch Stole Christmas,PG,Comedy,Universal Pictures,123000000,45.419668,345141403,104,6.2,1386,6.2,219000
National Treasure,PG,Action,Walt Disney Pictures,100000000,58.849256,347451894,131,6.4,1926,6.9,311000
The Great Gatsby,PG-13,Drama,Warner Bros.,105000000,61.196071,351040419,143,7.3,3769,7.2,494000
Apollo 13,PG,Adventure,Universal Pictures,52000000,68.140214,355237933,140,7.3,1599,7.6,277000
Top Gun,PG,Action,Paramount Pictures,15000000,58.900647,356830601,110,6.7,1698,6.9,306000
Noah,PG-13,Action,Paramount Pictures,125000000,46.115758,362637473,139,5.6,2350,5.7,246000
Jurassic Park III,PG-13,Action,Universal Pictures,93000000,1.859364,368780809,92,5.7,2077,5.9,301000
The Fugitive,PG-13,Action,Warner Bros.,44000000,54.884297,368875760,130,7.2,1220,7.8,275000
Edge of Tomorrow,PG-13,Action,Warner Bros.,178000000,79.456485,370541256,113,7.6,4858,7.9,620000
Captain America: The First Avenger,PG-13,Action,Paramount Pictures,140000000,74.506246,370569774,124,6.6,7047,6.9,769000
G.I. Joe: Retaliation,PG-13,Action,Paramount Pictures,130000000,59.325589,371876278,110,5.4,3025,5.8,176000
What Women Want,PG-13,Comedy,Paramount Pictures,70000000,31.39165,374111707,127,6.1,992,6.4,197000
Batman Begins,PG-13,Action,Warner Bros.,150000000,115.040024,374218673,140,7.5,7359,8.2,1300000
Mad Max: Fury Road,R,Action,Warner Bros.,150000000,434.278564,378858340,120,7.2,9427,8.1,912000
Back to the Future,PG,Adventure,Universal Pictures,19000000,76.603233,381109762,116,8,6079,8.5,1100000
Star Trek,PG-13,Action,Paramount Pictures,150000000,73.616808,385680446,127,7.4,4518,7.9,585000
Robin Hood: Prince of Thieves,PG-13,Action,Warner Bros.,48000000,28.803729,390493908,143,6.6,909,6.9,182000
Superman Returns,PG-13,Action,Warner Bros.,270000000,57.925623,391081192,154,5.4,1400,6,274000
Mission: Impossible III,PG-13,Action,Paramount Pictures,150000000,63.079003,397850012,126,6.5,2028,6.9,337000
TRON: Legacy,PG,Action,Walt Disney Pictures,170000000,73.79505,400062763,125,6.3,2841,6.8,319000
The Mummy: Tomb of the Dragon Emperor,PG-13,Action,Universal Pictures,145000000,60.034162,401128639,112,5.2,1387,5.2,154000
Pacific Rim,PG-13,Action,Warner Bros.,180000000,56.523205,407602906,131,6.7,4794,6.9,475000
Jason Bourne,PG-13,Action,Universal Pictures,120000000,62.641286,415484914,123,5.9,2341,6.6,213000
The Chronicles of Narnia: Prince Caspian,PG,Action,Walt Disney Pictures,225000000,53.978602,419651413,150,6.3,1630,6.5,199000
300,R,Action,Warner Bros.,65000000,65.197968,422610419,117,7,4997,7.6,750000
The Matrix Revolutions,R,Action,Warner Bros.,150000000,73.313918,424988211,129,6.4,3096,6.7,459000
The Mummy Returns,PG-13,Action,Universal Pictures,98000000,41.862983,433013274,130,6,2206,6.4,307000
Terminator Genisys,PG-13,Action,Paramount Pictures,155000000,202.042635,440603537,126,5.8,3631,6.3,264000
The Bourne Ultimatum,PG-13,Action,Universal Pictures,70000000,45.381501,442824138,115,7.3,2888,8,612000
Thor,PG-13,Action,Paramount Pictures,150000000,86.493424,449326618,115,6.6,6525,7,772000
The Last Samurai,R,Action,Warner Bros.,140000000,52.341226,456758981,154,7.3,1895,7.7,409000
Mission: Impossible,PG-13,Action,Paramount Pictures,80000000,75.290998,457696359,110,6.7,2631,7.1,398000
The Hangover,R,Comedy,Warner Bros.,35000000,82.21166,459270619,100,7.2,6173,7.7,733000
The Matrix,R,Action,Warner Bros.,63000000,104.309993,463517383,136,7.9,8907,8.7,1700000
Star Trek Into Darkness,PG-13,Action,Paramount Pictures,190000000,78.291018,467365246,132,7.4,4418,7.7,468000
Indiana Jones and the Last Crusade,PG-13,Action,Paramount Pictures,48000000,80.972475,474171806,127,7.6,3152,8.2,707000
Charlie and the Chocolate Factory,PG,Adventure,Warner Bros.,150000000,53.905592,474968763,115,6.7,3624,6.6,441000
Twister,PG-13,Action,Warner Bros.,92000000,32.079995,494471524,113,6.1,950,6.4,183000
Troy,R,Drama,Warner Bros.,175000000,66.803149,497409852,163,6.9,2759,7.2,500000
Ghost,PG-13,Drama,Paramount Pictures,22000000,41.967005,505000000,127,6.9,1339,7.1,203000
Meet the Fockers,PG-13,Comedy,Universal Pictures,80000000,32.829538,516642939,115,6.1,1373,6.3,257000
Sherlock Holmes,PG-13,Action,Warner Bros.,90000000,57.834787,524028679,128,7,5766,7.6,596000
World War Z,PG-13,Action,Paramount Pictures,200000000,81.834855,531865000,116,6.7,5560,7,618000
American Sniper,R,Action,Warner Bros.,58800000,87.53437,542307423,133,7.4,4469,7.3,451000
Mission: Impossible II,PG-13,Action,Paramount Pictures,125000000,54.931334,546388105,123,5.9,1928,6.1,322000
Ted,R,Comedy,Universal Pictures,50000000,68.87691,549368315,106,6.3,4697,6.9,580000
King Kong,PG-13,Action,Universal Pictures,207000000,61.22601,550000000,187,6.6,2337,7.2,403000
Iron Man,PG-13,Action,Paramount Pictures,140000000,120.725053,585174222,126,7.4,8776,7.9,969000
I Am Legend,PG-13,Action,Warner Bros.,150000000,70.867401,585349010,101,6.9,4853,7.2,704000
War of the Worlds,PG-13,Adventure,Paramount Pictures,132000000,48.572726,591739379,116,6.2,2322,6.5,424000
Mamma Mia!,PG-13,Comedy,Universal Pictures,52000000,30.780599,609841637,108,6.4,1386,6.4,224000
Iron Man 2,PG-13,Action,Paramount Pictures,200000000,77.300194,623933331,124,6.6,6849,7,746000
Fast Five,PG-13,Action,Universal Pictures,125000000,7.255718,626137675,130,7.1,2438,7.3,362000
Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,Action,Walt Disney Pictures,140000000,271.972889,655011224,143,7.5,6985,8,1000000
Man of Steel,PG-13,Action,Warner Bros.,225000000,99.398009,662845518,143,6.5,6359,7,721000
Interstellar,PG-13,Adventure,Paramount Pictures,165000000,724.247784,675120017,169,8.1,10867,8.6,1600000
Forrest Gump,PG-13,Drama,Paramount Pictures,55000000,138.133331,677945399,142,8.2,7927,8.8,1900000
Mission: Impossible - Rogue Nation,PG-13,Action,Paramount Pictures,150000000,114.522237,682330139,131,7.1,3224,7.4,350000
Mission: Impossible - Ghost Protocol,PG-13,Action,Paramount Pictures,145000000,77.77477,694713380,133,6.8,3972,7.4,466000
Gravity,PG-13,Drama,Warner Bros.,105000000,110.153618,716392705,91,7.3,5751,7.7,784000
The Matrix Reloaded,R,Action,Warner Bros.,150000000,70.78591,738599701,138,6.7,3443,7.2,529000
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",PG,Adventure,Walt Disney Pictures,180000000,67.391328,748806957,143,6.7,2629,6.9,375000
Indiana Jones and the Kingdom of the Crystal Skull,PG-13,Action,Paramount Pictures,185000000,75.674458,786636033,122,5.7,2495,6.1,433000
Harry Potter and the Prisoner of Azkaban,PG,Adventure,Warner Bros.,130000000,79.679601,789804554,141,7.7,5877,7.9,570000
Inception,PG-13,Action,Warner Bros.,160000000,167.58371,825532764,148,8.1,13752,8.8,2100000
Batman v Superman: Dawn of Justice,PG-13,Action,Warner Bros.,250000000,155.790452,873260194,151,5.7,7004,6.4,655000
Harry Potter and the Chamber of Secrets,PG,Adventure,Warner Bros.,100000000,132.397737,876688482,161,7.4,5815,7.4,572000
Harry Potter and the Goblet of Fire,PG-13,Adventure,Warner Bros.,150000000,101.250416,895921036,157,7.5,5608,7.7,566000
Jurassic Park,PG-13,Action,Universal Pictures,63000000,40.413191,920100000,127,7.6,4856,8.1,894000
Harry Potter and the Half-Blood Prince,PG,Action,Warner Bros.,250000000,98.885637,933959197,153,7.4,5293,7.6,492000
Harry Potter and the Order of the Phoenix,PG-13,Action,Warner Bros.,150000000,78.144395,938212738,138,7.4,5494,7.5,527000
Pirates of the Caribbean: At World's End,PG-13,Action,Walt Disney Pictures,300000000,139.082615,961000000,169,6.9,4500,7.1,608000
Alice in Wonderland,PG,Adventure,Walt Disney Pictures,200000000,78.530105,1025491110,108,6.4,4645,6.4,392000
Pirates of the Caribbean: On Stranger Tides,PG-13,Action,Walt Disney Pictures,380000000,135.413856,1045713802,136,6.4,4948,6.6,492000
Pirates of the Caribbean: Dead Man's Chest,PG-13,Action,Walt Disney Pictures,200000000,145.847379,1065659812,151,7,5246,7.3,668000
The Dark Knight Rises,PG-13,Action,Warner Bros.,250000000,112.31295,1084939099,165,7.6,9106,8.4,1600000
Transformers: Age of Extinction,PG-13,Action,Paramount Pictures,210000000,116.840296,1091405097,165,5.8,3095,5.6,302000
Transformers: Dark of the Moon,PG-13,Action,Paramount Pictures,195000000,28.529607,1123746996,154,6.1,3299,6.2,390000
Furious 7,PG-13,Action,Universal Pictures,190000000,102.322217,1506249360,137,7.3,4176,7.1,370000
Jurassic World,PG-13,Action,Universal Pictures,150000000,418.708552,1513528810,124,6.5,8662,7,593000
