Title,Rating,Genre,Company,Budget,Popularity,Revenue,Runtime,Score 1,Votes 1,Score 2,Votes 2
The Princess Diaries 2: Royal Engagement,G,Comedy,Walt Disney Pictures,40000000,30.002907,95149435,113,6,697,5.8,76000
Shooter,R,Action,Paramount Pictures,61000000,37.378081,95696996,124,6.9,1462,7.2,317000
The Manchurian Candidate,R,Drama,Paramount Pictures,80000000,21.394281,96105964,129,6.2,393,6.6,107000
Paycheck,PG-13,Action,Paramount Pictures,60000000,29.018826,96269812,119,5.9,581,6.3,105000
Star Trek II: The Wrath of Khan,PG,Action,Paramount Pictures,12000000,22.434102,96800000,113,7.3,675,7.7,115000
Jarhead,R,Action,Universal Pictures,72000000,32.227223,96889998,125,6.6,765,7,179000
Star Trek VI: The Undiscovered Country,PG,Action,Paramount Pictures,27000000,16.188572,96900000,113,6.7,413,7.2,72000
Enemy at the Gates,R,Drama,Paramount Pictures,68000000,41.273567,96976270,131,7.2,999,7.6,249000
Paul,R,Adventure,Universal Pictures,40000000,43.151268,97552050,104,6.5,1789,7,240000
The Lucky One,PG-13,Drama,Warner Bros.,25000000,26.811541,99357138,101,6.8,946,6.5,103000
Where the Wild Things Are,PG,Adventure,Warner Bros.,100000000,31.586215,100086793,101,6.4,572,6.7,102000
Any Given Sunday,R,Drama,Warner Bros.,55000000,23.127561,100230832,163,6.8,422,6.9,114000
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",PG,Comedy,Walt Disney Pictures,28000000,22.14595,100654149,81,6.1,493,6.2,42000
The Stepford Wives,PG-13,Comedy,Paramount Pictures,90000000,19.224754,102000000,93,5.4,334,5.3,62000
Under Siege 2: Dark Territory,R,Action,Warner Bros.,60000000,13.080725,104324083,100,5.6,210,5.5,45000
Forgetting Sarah Marshall,R,Comedy,Universal Pictures,30000000,50.670253,105173115,111,6.4,1172,7.1,271000
Along Came a Spider,R,Drama,Paramount Pictures,60000000,21.252797,105178561,104,6.1,400,6.4,79000
Hereafter,PG-13,Drama,Warner Bros.,50000000,13.365715,105197635,129,5.8,510,6.4,91000
Gangster Squad,R,Action,Warner Bros.,60000000,29.041198,105200903,113,6.2,1778,6.7,209000
Race to Witch Mountain,PG,Action,Walt Disney Pictures,50000000,23.935053,106303988,98,5.5,509,5.7,57000
The American President,PG-13,Comedy,Universal Pictures,62000000,11.056763,107879496,106,6.5,195,6.8,54000
Three Kings,R,Action,Warner Bros.,75000000,34.973086,108000000,114,6.6,692,7.1,163000
The Man from U.N.C.L.E.,PG-13,Action,Warner Bros.,75000000,48.744209,108145109,116,7.1,2265,7.3,286000
10 Cloverfield Lane,PG-13,Action,Paramount Pictures,15000000,53.698683,108286421,103,6.8,2468,7.2,300000
Sanctum,R,Action,Universal Pictures,30000000,20.063165,108609310,108,5.8,339,5.9,54000
Neighbors 2: Sorority Rising,R,Comedy,Universal Pictures,35000000,50.179171,108758521,91,5.6,1462,5.7,116000
The Purge: Anarchy,R,Action,Universal Pictures,9000000,82.975841,108782847,104,6.6,1954,6.4,143000
The Dukes of Hazzard,PG-13,Comedy,Warner Bros.,50000000,15.98212,110803676,104,5.1,316,5.1,76000
Fool's Gold,PG-13,Action,Warner Bros.,70000000,21.789615,111231041,112,5.4,444,5.7,76000
The Pacifier,PG,Action,Walt Disney Pictures,56000000,35.4763,113006880,95,5.8,842,5.6,90000
Body of Lies,R,Action,Warner Bros.,70000000,37.507136,113280098,128,6.5,895,7.1,218000
The Lake House,PG,Drama,Warner Bros.,40000000,29.88736,114830111,99,6.5,670,6.8,143000
The Blues Brothers,R,Action,Universal Pictures,27000000,44.714264,115229890,133,7.5,1065,7.9,188000
DragonHeart,PG-13,Action,Universal Pictures,57000000,31.791979,115267375,103,6.4,535,6.5,93000
The Chronicles of Riddick,R,Action,Universal Pictures,105000000,27.835436,115772733,119,6.3,1570,6.7,218000
The First Wives Club,PG,Comedy,Paramount Pictures,26000000,10.704596,116400000,102,6.5,166,6.4,45000
Star Trek: Insurrection,PG,Action,Paramount Pictures,70000000,19.711951,118000000,103,6.3,391,6.4,72000
The Saint,PG-13,Action,Paramount Pictures,68000000,20.913852,118063304,116,5.9,302,6.2,64000
The Purge: Election Year,R,Action,Universal Pictures,10000000,53.727146,118587880,105,6.1,1306,6,93000
Message in a Bottle,PG-13,Drama,Warner Bros.,80000000,10.81051,118880016,131,5.8,196,6.2,37000
Beverly Hills Cop III,R,Action,Paramount Pictures,50000000,20.333953,119208989,104,5.5,434,5.6,78000
